group,collection_name,collection_no,cc,state,early_interval,min_ma,max_ma,paleolng,paleolat,n_occs
amphibian,"Sperbersbach, near Oberhof",180795,DE,Thüringia,Sakmarian,290.1,295.5,21.69,6.9,1
amphibian,Erdesbach (Hölle),180796,DE,Rhineland-Palatinate,Asselian,295.5,298.9,19.63,4.95,4
amphibian,Pfarrwald at Heimkirchen,180797,DE,Rhineland-Palatine,Asselian,290.1,298.9,19.91,5.15,3
amphibian,Munsterappel,180798,DE,Rhineland-Palatine,Gzhelian,295.5,303.7,19.62,4.95,1
amphibian,Odernheim,180800,DE,Rhineland-Palatine,Asselian,290.1,298.9,19.86,5.33,3
amphibian,"Autun, Saone et Loire",180801,FR,Burgundy,Autunian,295,298.9,18.16,1.93,1
amphibian,Rehborn,180802,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.75,5.14,2
amphibian,Quirnbach,180803,DE,Rhineland-Palatinate,Kuzel,298.9,301.2,19.46,4.6,1
amphibian,Grumbach,180804,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.68,5.04,2
amphibian,Messersbacherhof,180805,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.83,5.01,2
amphibian,"Timon, Maranhao",180809,BR,Maranhao,Kungurian,272.3,279.3,-11.13,-27.66,1
amphibian,"Nazaria, Piaui State",180810,BR,Piaui,Kungurian,272.3,279.3,-11.18,-27.92,2
amphibian,"Monsenhor Gil, Piaui State",180814,BR,Piaui,Kungurian,272.3,279.3,-11.02,-28.19,2
amphibian,"Pastos Bons, Maranhao",180815,BR,Maranhao,Kungurian,272.3,279.3,-10.45,-28.33,1
amphibian,"UGKU Locality 6, Rockenhausen",180816,DE,Rhineland-Palatine,Asselian,290.1,298.9,19.97,5.23,1
amphibian,"Morsbacher hof, near Mannweiler-Colln",180817,DE,Rhineland-Palatine,Asselian,290.1,298.9,19.95,5.28,1
amphibian,"Baliarpatti spur, Marahom (Verma collection)",156530,IN,,Artinskian,279.3,290.1,61.08,-54.27,1
amphibian,Kappeln,180806,DE,Rhineland-Palatine,Asselian,290.1,298.9,19.82,4.54,2
amphibian,Tambach,180847,DE,Thuringia,Autunian,295,298.9,21.29,6.64,1
amphibian,"Finsterbergen, near Friedrichroda",180799,DE,Thuringia,Autunian,295,298.9,21.26,6.68,1
amphibian,"Ohmbach, near Altenglan",175918,DE,Rhineland-Palatine,Autunian,295,298.9,19.6,4.81,1
amphibian,Road-cut uphill of Gottlob quarry,180848,DE,Thuringia,Asselian,295.5,298.9,21.24,6.7,1
amphibian,Klauswald at Odernheim,180851,DE,Rhineland-Palatine,Autunian,295,298.9,19.75,5.17,3
amphibian,"Humberg, near Obernheim",180783,DE,Rhineland-Pfalz,Asselian,295.5,298.9,19.88,4.84,2
amphibian,Rehborn (Hasenkopf),180853,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.75,5.14,1
amphibian,Lauterecken (Windhof),180854,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.7,5.05,1
amphibian,Desloch,180855,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.71,5.12,1
amphibian,Raumbach,180857,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.73,5.13,1
amphibian,Langenthal,180858,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.65,5.21,1
amphibian,Albessen,180859,DE,Rhineland-Palatine,Asselian,295.5,298.9,19.57,4.87,1
amphibian,Gresaubach,180860,DE,Saarland,Asselian,295.5,298.9,19.75,5.14,2
amphibian,St Wendel,180862,DE,Saarland,Asselian,295.5,298.9,19.68,5.04,1
amphibian,Lebach,180864,DE,Saarland,Asselian,295.5,298.9,19.33,4.7,1
amphibian,Kaiserslautern,180861,DE,Rhineland-Palatinate,Autunian,295,298.9,19.85,4.87,1
amphibian,Huffler,180865,DE,Rhineland-Palatinate,Autunian,295,298.9,19.61,4.86,1
amphibian,"Quarry at Rummelbach, Gresaubach",180869,DE,Saarland,Autunian,295,298.9,19.75,5.14,1
amphibian,Rathsweiler,180870,DE,Rhineland-Palatinate,Autunian,295,298.9,19.63,4.97,1
amphibian,Worsbach,180872,DE,Rhineland-Palatinate,Asselian,295.5,298.9,19.78,4.97,1
amphibian,Clark Hill,80877,US,Ohio,Sakmarian,290.1,295.5,-14.82,-2.52,1
amphibian,Pitcairn Locailty,180937,US,Pennsylvania,Missourian,303.4,305.9,-15.75,-5.63,2
amphibian,"Badger Creek, Fremont County",180938,US,Colorado,Missourian,303.4,305.9,-34.25,2.44,3
amphibian,UCMP V-2844,180940,US,New Mexico,Wolfcamp,268,296.4,-34.08,4.53,5
amphibian,Arroyo del Agua (Cope Collection AMNH),180944,US,New Mexico,Wolfcamp,268,296.4,-34.08,4.48,1
amphibian,Baylor County,180945,US,Texas,Cisuralian,272.3,298.9,-30.51,-1.04,1
amphibian,Road cut at intersection of Dallas Pike and Interstate 70,180946,US,West Virginia,Wolfcamp,268,296.4,-14.25,-1.84,1
amphibian,Road cut on County Highway 41/8,180947,US,West Virginia,Wolfcamp,268,296.4,-14.25,-1.84,1
amphibian,Howard Quarry,77786,US,Colorado,Missourian,303.4,305.9,-34.24,2.45,1
amphibian,"Ergebirge Basin, near Zwickau",180950,DE,Saxony,Asselian,295.5,298.9,22.46,6.91,1
amphibian,Archer City Bonebed 2,180957,US,Texas,Wolfcamp,268,296.4,-30.06,-1.27,1
amphibian,Jemez Springs,180974,US,New Mexico,Wolfcamp,268,296.4,-34.33,4.24,8
amphibian,Coprolite Bonebed,180978,US,Texas,Wolfcamp,268,296.4,-30.04,-1.17,3
amphibian,Eskridge locality,180979,US,Kansas,Sakmarian,290.1,295.5,-25.79,1.82,3
amphibian,Sierra Lucero Locality,180988,US,New Mexico,Sakmarian,279.3,295.5,-35.35,3.52,3
amphibian,Pecos River Valley Locality (Sangre de Cristo),180989,US,New Mexico,Gzhelian,290.1,303.7,-35.7,2.91,6
amphibian,Pond Creek,180990,US,Oklahoma,Leonard,268,290.1,-27.43,1.65,5
amphibian,Waurika Site 1,180991,US,Oklahoma,Leonard,268,290.1,-28.99,-0.33,5
amphibian,Locality BW (Lower Vale Fm.),180992,US,Texas,Artinskian,268.8,290.1,-30.44,-0.02,3
amphibian,Cardillo Quarry,181075,US,New Mexico,Wolfcamp,268,296.4,-34.09,4.49,2
amphibian,Spanish Queen mine locality,181076,US,New Mexico,Wolfcamp,268,296.4,-34.35,4.22,1
amphibian,NE Socorro,85436,US,New Mexico,Wolfcamp,268,296.4,-35.31,2.97,5
amphibian,Tularosa Locality,181077,US,New Mexico,Wolfcamp,268,296.4,-35.51,1.76,2
amphibian,Caballo Mountains locality,181037,US,New Mexico,Wolfcamp,268,296.4,-36.29,2.32,2
amphibian,Los Pinos Mountains locality,181078,US,New Mexico,Wolfcamp,268,296.4,-35.1,2.98,4
amphibian,"Locality 6, near Cameron",80720,US,Ohio,Asselian,290.1,298.9,-14.93,-2.65,1
amphibian,"Kurty locality, PIN 2078",181085,,Alma-Ata Region,Asselian,272.3,298.9,73.52,23.92,1
amphibian,South of Crescent,181086,US,Oklahoma,Kungurian,272.3,279.3,-26.69,2.96,1
amphibian,East of Crescent,181087,US,Oklahoma,Kungurian,272.3,279.3,-26.65,2.98,1
amphibian,Kniebreche at Kleinschmalkalden,181127,DE,Thuringia,Asselian,295.5,298.9,21.2,6.63,1
amphibian,"Kesselgraben, Friedrichroda",181128,DE,Thuringia,Autunian,295,298.9,21.24,6.7,1
amphibian,Oberschonau,181129,DE,Thuringia,Asselian,295.5,298.9,21.32,6.57,1
amphibian,"Strasse Grenzwiese, Cabarz",181130,DE,Thuringia,Asselian,295.5,298.9,21.2,6.71,1
amphibian,"Sarytaypan locality, PIN 2079",181134,TJ,Leninabad,Rotliegendes,254,298.9,71.94,19.48,1
amphibian,"Freital, near Dresden",181176,DE,Saxony,Sakmarian,290.1,295.5,23.6,6.78,2
amphibian,"Baldwin, near Animas",180939,US,Colorado,Wolfcamp,268,296.4,-32.78,6.82,1
amphibian,"Mamadysh, PIN 683",187316,RU,Tatarstan,Ufimian,268,279.5,44.63,26.57,1
amphibian,"Golyusherma, PIN 4276",187322,RU,Udmurtia,Ufimian,268,279.5,45.03,27.27,3
amphibian,"Vyshka, PIN 1581",189498,RU,Perm,Ufimian,268,279.5,45.15,30.06,1
amphibian,"Pastos Bons, Maranhao",192146,BR,Maranhao,Kungurian,272.3,279.3,-10.45,-28.33,1
amphibian,Tlumaczow Quarry tracksite,197201,PL,Lower Silesia,Rotliegendes,254,298.9,27.05,10.89,2
amphibian,Thuringer Wald,197721,DE,Thuringia,Autunian,295,298.9,21.28,6.65,1
amphibian,"Les Charbonnières, Franchesse",197925,FR,Auvergne-Rhône-Alpes,Sakmarian,290.1,295.5,17.58,1.79,1
amphibian,Bourbon-l’Archambault,197929,FR,Auvergne-Rhône-Alpes,Cisuralian,272.3,298.9,17.78,2.13,1
amphibian,"'Pricna zmola', Malá Lhota",197951,CZ,South Moravia,Cisuralian,272.3,298.9,25.79,7.19,3
amphibian,"Bacov, Boskovice furrow",156569,CZ,,Sakmarian,290.1,295.5,25.62,6.97,1
amphibian,Montrose,197955,US,Pennsylvania,Late Pennsylvanian,298.9,306.95,-11.86,-4.1,1
amphibian,"Old Military Crossing, Whiskey Creek, Wichita River",108766,US,Texas,Artinskian,279.3,290.1,-30.3,-0.95,6
amphibian,"Drvalovice, Boskovice Furrow",200050,CZ,,Cisuralian,272.3,298.9,25.79,7.37,1
amphibian,"Low main seam shale, Newsham",132670,UK,England,Bashkirian,315.2,323.2,3.05,-6.79,1
